cdTimestamp,Location_ID,Latitude,Longitude,LULC_Type,Temperature,Humidity,Wind_Speed,Solar_Radiation,Precipitation,Air_Pressure,NDVI
2022-01-01 00:00:00,Station_1,42.92078476270857,-70.44207578989742,Agricultural,-1.45,30.99,1.03,747.73,9,980.36,0.87
2022-01-01 00:05:00,Station_1,45.87895445081719,-88.55317991947317,Forest,24.93,58.33,9.05,297.29,0,1020.3,0.56
2022-01-01 00:10:00,Station_1,32.14761907093353,-91.38717515405654,Agricultural,20.6,74.46,8.63,549.58,2,1024.56,0.52
2022-01-01 00:15:00,Station_1,26.725934480230865,-114.65461964884194,Barren,3.09,65.3,7.9,755.51,10,1043.17,0.46
2022-01-01 00:20:00,Station_1,40.87775912367596,-92.34548215839234,Barren,17.44,44.88,11.49,979.98,1,998.33,0.47
2022-01-01 00:25:00,Station_1,36.820347412971316,-116.39655371021692,Urban,4.62,74.19,12.63,786.51,4,1003.35,0.29
2022-01-01 00:30:00,Station_1,41.57112454220815,-70.23258308833141,Water,32.39,31.06,2.31,769.45,9,1041.41,0.66
2022-01-01 00:35:00,Station_1,36.388390709110695,-97.52900545770406,Barren,28.13,56.94,7.91,725.82,1,992.23,0.81
2022-01-01 00:40:00,Station_1,44.46546643171579,-75.30278870040998,Agricultural,-1.87,48.09,12.74,462.53,9,1025.07,0.1
2022-01-01 00:45:00,Station_1,43.16995479223344,-70.52356971625909,Water,8.16,68.57,1.43,694.18,8,990.57,0.76
2022-01-01 00:50:00,Station_1,44.664592455739886,-122.71930295536032,Barren,-9.98,63.97,2.93,419.29,4,988.11,0.63
2022-01-01 00:55:00,Station_1,43.23913975730687,-104.35719384935321,Agricultural,1.23,34.44,11.41,853.36,7,984.88,0.76
2022-01-01 01:00:00,Station_1,33.39641435601118,-86.67851780405215,Forest,5.54,74.11,12.0,256.74,6,1044.21,0.35
2022-01-01 01:05:00,Station_1,47.026283810145515,-89.01972723701496,Urban,12.15,68.55,13.21,908.97,6,1038.39,0.62
2022-01-01 01:10:00,Station_1,31.94823626519551,-73.76629168259564,Barren,1.21,39.06,0.64,885.92,8,1013.24,0.38
2022-01-01 01:15:00,Station_1,28.364657943712423,-93.46558049684656,Agricultural,8.46,58.06,14.42,786.53,3,1031.43,0.19
2022-01-01 01:20:00,Station_1,28.77202243313338,-61.17708160292375,Agricultural,0.19,85.25,3.4,855.94,4,982.76,0.31
2022-01-01 01:25:00,Station_1,28.334317870802476,-81.22746405845727,Urban,5.77,73.83,12.65,885.55,6,1006.1,0.7
2022-01-01 01:30:00,Station_1,48.278135782017586,-69.22153001278784,Water,25.0,49.63,0.06,656.65,5,1027.96,0.55
2022-01-01 01:35:00,Station_1,40.53752810371144,-65.41292032620265,Water,28.84,49.26,2.59,900.45,7,1027.42,0.71
2022-01-01 01:40:00,Station_1,39.38937605490482,-60.85318567115169,Water,9.03,56.79,4.9,600.54,3,1038.29,0.17
2022-01-01 01:45:00,Station_1,47.26367426880184,-78.6650360208703,Forest,16.6,70.72,4.61,448.15,4,1012.41,0.3
2022-01-01 01:50:00,Station_1,40.351636774344854,-82.31288693133072,Urban,-1.89,31.46,2.76,882.44,5,1013.14,0.15
